id,path,created_date,updated_date
ea2e9900-6d93-4118-afcd-ceb375e2e778,D:\Program Files\ShogiGUI\Suisho5-YaneuraOu-v7.5.0-windows\YaneuraOu_NNUE-tournament-clang++-avx2.exe,2024-02-09T08:35:29.2225835+09:00,2024-02-09T08:35:29.2225835+09:00
156506a3-4d27-49ee-a0aa-303c0cd99b61,test test,2024-02-09T09:15:17.2884266+09:00,2024-02-09T09:15:17.2884266+09:00
